Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,0.919,1.832,2.746,3.659,4.573,5.486,6.400,7.345,8.269,9.184,10.098,11.013,11.929,12.844,13.774,14.733,15.650,16.565,17.481,18.396,19.380,20.365,21.295,22.210,23.124,24.038,24.951,25.935,26.930,28.029,29.026,30.070,31.072,31.985,32.899,33.812,34.725,35.639,36.552,37.467,38.380,39.294,40.210,41.126,42.041,42.956,43.871,44.784,45.698,46.612,47.525,48.439,49.354,50.269,51.183,52.097,53.009,53.923,54.836,55.768,56.684,57.598,58.513,59.425,60.341,61.253,62.167,63.080,63.994,64.907,65.821,66.738,67.654,68.568,69.482,70.395,71.308,72.221,73.135,74.048,74.961,75.874,76.788,77.704,78.617,79.530,80.443,81.357,82.271,83.185,84.099,85.013,85.928,86.842,87.756,88.670,89.583,90.496,91.409,92.323,93.237,94.149,95.063,95.976,96.889,97.803,98.716,99.630,100.544,101.457,102.371,103.284,104.198,105.113,106.026,106.941,107.857,108.770,109.683,110.596,111.509,112.422,113.335,114.249,115.162,116.077,116.992,117.908,118.822,119.764,120.681,121.593,122.507,123.421,124.335,125.249,126.164,127.077,127.991,128.905,129.818,130.732,131.645,132.559,133.472,134.385,135.299,136.212,137.125,138.037,138.951,139.864,140.778,141.694,142.607,143.521,144.434,145.349,146.264,147.178,148.094,149.008,149.923
Player Connected,0,0,0,0,0,0,1,3,6,8,9,10,11,14,18,23,26,28,28,30,33,34,36,37,38,39,40,42,44,45,47,48,48,48,48,48,48,48,48,48,48,48,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,44,44,39,35,28,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24
TX (Kbps),0.0,0.0,0.0,0.0,0.0,0.0,2.7832,3.791,8.5625,5.5664,1.502,5.3066,6.9688,11.3086,15.1621,11.3613,13.2266,41.8027,32.0234,51.1523,34.4785,21.5684,35.9746,13.5449,98.2578,91.1543,26.6445,46.3496,54.3945,85.2422,54.7344,4.998,9.2422,12.3398,10.0918,4.4102,2.5977,8.5469,3.9863,4.6387,5.293,6.168,3.168,5.9375,3.748,3.3711,3.8184,4.5,2.332,1.6758,2.5684,3.4629,2.5957,2.6406,3.293,3.3809,4.4805,2.127,2.1973,3.6504,4.4883,1.502,3.4863,2.0664,1.9141,2.416,2.0547,5.2773,2.3496,2.8828,3.8984,1.8652,3.0703,5.0977,2.6094,1.6543,3.1113,3.4824,2.6465,1.916,2.5723,3.0039,3.0352,2.5742,3.7695,1.9551,3.0527,3.3652,2.7676,2.1484,2.248,3.6621,4.168,2.3203,2.2246,3.8555,4.8711,2.2559,4.1699,4.5273,2.8066,2.7129,4.0078,1.623,1.8672,4.8359,2.1152,3.9707,2.4766,1.8828,2.0996,2.3867,3.5879,2.6367,2.5176,2.5898,2.5645,3.5762,3.6133,1.5488,1.9473,3.4551,3.5176,3.0078,2.1836,4.5898,2.5488,3.3535,5.0098,4.8867,2.8105,2.668,4.4121,2.1523,2.084,2.5547,2.7852,2.2422,3.125,3.1738,2.6953,3.9316,2.0215,2.959,2.5645,4.1406,2.3457,2.9551,3.5996,1.9727,3.7207,2.8066,3.8379,3.7734,2.3496,29.7676,2.2617,4.6016,1.0488,0.457,1.2891,3.1475,6.7266
RX (Kbps),0.0,0.0,0.0449,0.0,0.0449,0.0,2.6719,4.2285,7.1309,5.2383,1.3652,6.1553,5.7285,11.8809,14.9316,11.4902,13.1162,1101.8418,1381.7422,3735.251,2111.0752,1009.5713,1968.4561,124.7578,4985.9189,6476.3486,1108.749,4294.1836,3290.0801,6249.3535,4543.9531,86.6172,2.7188,26.7324,20.6211,93.082,48.125,95.3242,31.5723,9.7539,32.1797,22.3379,33.124,23.0928,59.1914,64.4824,31.1641,85.5352,66.5615,37.0,30.6094,117.3828,29.3047,70.7803,62.6875,65.0859,62.4609,49.4531,46.9277,97.2451,52.0859,27.5537,46.4609,66.2031,50.582,25.8828,64.4219,74.2725,50.2852,72.2021,38.8672,42.5293,45.4961,42.6328,22.8086,46.9277,59.0859,64.8203,75.7227,57.6094,82.8047,95.9648,86.2842,90.9727,76.1094,38.7344,52.6074,70.3906,61.8359,69.1816,59.0234,76.8701,61.2949,81.7764,40.0859,97.3945,32.6953,58.7656,109.2168,63.3301,55.7617,49.1641,107.9727,68.0859,91.3047,116.5547,73.9287,66.4766,62.1602,89.5195,64.668,123.0449,83.0918,44.0469,45.1855,43.8184,42.6328,64.3965,44.791,54.709,65.5771,50.3594,74.6445,94.9062,63.9775,83.5771,29.9209,79.2012,88.0625,101.625,86.2891,75.6445,67.2969,67.4785,55.1191,73.3457,67.5039,59.0508,147.1348,41.1328,75.3438,62.4688,78.498,128.2617,85.2832,171.2129,82.7715,89.8418,183.2578,70.3125,112.5947,109.0234,135.6924,110.7695,110.0879,1762.2441,1.8672,178.4219,0.6074,1.3389,0.6973,3.4062,2.707
TX + RX (Kbps),0.0,0.0,0.0449,0.0,0.0449,0.0,5.4551,8.0195,15.6934,10.8047,2.8672,11.4619,12.6973,23.189500000000002,30.0937,22.8515,26.342799999999997,1143.6444999999999,1413.7656,3786.4033000000004,2145.5537000000004,1031.1397,2004.4307000000001,138.30270000000002,5084.1767,6567.5029,1135.3935000000001,4340.5332,3344.4746,6334.5957,4598.6875,91.6152,11.961,39.072199999999995,30.712899999999998,97.4922,50.7227,103.87110000000001,35.5586,14.3926,37.472699999999996,28.5059,36.292,29.0303,62.9394,67.8535,34.9825,90.0352,68.89349999999999,38.6758,33.1778,120.84570000000001,31.9004,73.4209,65.9805,68.46679999999999,66.9414,51.5801,49.125,100.8955,56.574200000000005,29.055699999999998,49.9472,68.26950000000001,52.4961,28.2988,66.47659999999999,79.54979999999999,52.634800000000006,75.0849,42.7656,44.3945,48.5664,47.730500000000006,25.418,48.582,62.1972,68.3027,78.3692,59.5254,85.377,98.9687,89.3194,93.54690000000001,79.87889999999999,40.6895,55.6601,73.75580000000001,64.6035,71.33,61.2714,80.53219999999999,65.4629,84.0967,42.310500000000005,101.25,37.5664,61.021499999999996,113.3867,67.8574,58.5683,51.876999999999995,111.9805,69.7089,93.1719,121.39059999999999,76.04390000000001,70.4473,64.63680000000001,91.4023,66.7676,125.4316,86.67970000000001,46.6836,47.7031,46.408199999999994,45.197300000000006,67.9727,48.4043,56.2578,67.5244,53.8145,78.1621,97.914,66.1611,88.1669,32.4697,82.5547,93.0723,106.5117,89.09960000000001,78.3125,71.70899999999999,69.6308,57.203100000000006,75.90039999999999,70.2891,61.293,150.2598,44.3066,78.0391,66.4004,80.51950000000001,131.2207,87.84769999999999,175.3535,85.1172,92.79690000000001,186.8574,72.2852,116.3154,111.83,139.53029999999998,114.54289999999999,112.4375,1792.0116999999998,4.1289,183.02349999999998,1.6562000000000001,1.7959,1.9864,6.5537,9.4336
CPU Usage Percent,0.2,0.0,0.2,0.0,0.0,0.0,0.7,1.2,3.5,2.7,1.0,2.2,4.0,5.7,10.1,10.7,11.9,14.1,18.4,20.8,25.0,27.3,22.8,18.5,38.5,42.0,41.1,34.1,33.8,42.0,22.8,35.2,63.2,19.8,4.4,2.9,3.1,3.9,5.8,7.9,4.0,4.4,6.3,6.9,6.3,7.4,3.8,4.2,5.4,5.7,2.9,5.2,6.7,5.5,4.1,3.9,4.1,2.8,4.1,4.4,5.1,3.8,4.1,4.2,3.3,3.7,5.3,4.4,4.6,5.1,4.0,3.9,9.7,5.8,3.1,3.1,4.7,4.3,4.3,3.5,4.2,4.1,6.7,4.7,2.8,3.7,7.3,3.9,3.7,6.1,5.5,6.5,6.2,6.9,4.7,4.3,4.1,4.0,3.0,4.5,4.6,4.8,3.1,4.2,4.1,4.0,4.0,6.5,3.0,3.9,3.3,4.1,6.2,5.0,6.4,3.7,5.7,3.2,5.1,3.1,5.6,6.3,5.4,3.9,5.2,6.4,6.3,6.5,7.5,6.1,5.8,4.3,4.0,3.4,5.6,4.4,6.0,4.1,3.1,3.5,7.7,5.3,4.5,3.8,4.2,5.2,3.7,4.8,2.7,3.7,5.4,3.9,3.2,4.7,3.7,1.4,2.8,4.1,3.5,3.1,2.4,1.8,1.2
RAM Usage Percent,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.8,5.8,5.9,5.9,5.9,6.0,6.2,6.4,6.5,6.6,7.0,7.6,7.0,8.5,8.1,8.1,9.2,9.6,9.7,8.4,9.8,9.9,8.8,10.4,12.6,9.2,8.8,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.7,8.8,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.8,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.7,8.7,8.8,8.8,8.7,8.7,8.7,8.7,8.7,8.8,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.7,8.7,8.8,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.8,8.9,8.7,8.9,8.8,8.7,8.7,8.7,8.7,8.7,8.8,8.7,8.7,8.7,8.7,8.9,8.7,8.7,8.8,8.7,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,9.1,8.8,8.9,8.7,8.8,8.8

