Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,2.870,5.752,8.715,11.635,14.487,17.290,20.117,22.911,26.203,29.255,32.631,36.032,38.909,41.704,44.525,47.366,50.156,53.081,56.035,58.928,61.797,64.777,67.641,70.504,73.440,76.287,79.124,83.170,88.394,94.187,99.824,105.169,110.073,114.791,119.325,124.441,129.160,134.045,137.209,140.083,142.933,145.837,148.726,151.600
Player Connected,0,2,3,9,12,14,17,23,31,37,44,48,48,48,48,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,49,48,48,48,48,48
TX (Kbps),0.0,2.8379,1.4912,8.3613,7.4219,23.8135,21.6719,85.4307,82.9951,50.4756,136.79,38.7705,10.3018,11.5303,6.2393,6.0557,8.8271,4.4795,4.5869,5.1982,8.0146,7.6455,5.3125,6.2256,3.6123,7.8008,3.2197,199.4336,169.5586,179.9551,181.5039,125.1934,144.873,196.3252,196.5303,173.8066,187.6641,117.6328,61.5566,0.6992,0.0,0.0,0.0,2.1562
RX (Kbps),0.0449,4.0918,2.6143,11.9326,11.3945,1140.3252,1327.5059,3840.1348,4788.5801,4854.2578,13079.9902,172.0312,59.7754,75.3887,63.7109,55.4795,41.7705,68.2227,128.8164,63.207,101.9082,81.0879,64.3701,56.7705,77.4258,54.7344,89.2969,22399.4824,15979.5303,19128.8955,11658.8027,12192.4658,14065.4375,14692.7607,7942.0059,13085.9688,14471.29,12567.6562,5693.4512,0.0449,0.0449,0.0449,2.123,0.0449
TX + RX (Kbps),0.0449,6.9297,4.1055,20.2939,18.8164,1164.1387,1349.1778000000002,3925.5654999999997,4871.5752,4904.7334,13216.780200000001,210.8017,70.0772,86.919,69.9502,61.5352,50.5976,72.7022,133.4033,68.40520000000001,109.9228,88.7334,69.6826,62.9961,81.0381,62.5352,92.5166,22598.916,16149.0889,19308.850599999998,11840.3066,12317.6592,14210.3105,14889.0859,8138.5362000000005,13259.7754,14658.9541,12685.288999999999,5755.0078,0.7441000000000001,0.0449,0.0449,2.123,2.2011000000000003
CPU Usage Percent,3.3,3.5,3.6,5.3,6.1,8.8,10.1,18.5,23.1,29.5,26.1,36.2,23.6,7.6,8.8,8.0,10.4,8.4,8.1,7.6,7.5,9.5,8.2,9.7,9.1,7.7,7.8,31.9,58.4,56.7,59.1,56.8,54.2,54.2,52.3,54.6,53.0,54.8,43.7,5.8,4.2,3.9,3.9,4.7
RAM Usage Percent,5.8,5.8,5.9,6.1,6.3,6.3,6.5,7.7,9.1,9.4,10.9,11.6,9.5,9.3,9.3,9.4,9.4,9.3,9.3,9.3,9.3,9.7,9.3,9.4,9.4,9.4,9.4,13.7,14.1,13.5,12.9,12.6,14.3,13.2,12.4,13.0,13.2,13.6,11.4,10.0,10.0,10.0,10.0,10.0

IP,10.0.0.19
