Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,2.915,5.811,8.748,11.679,14.609,17.475,20.283,23.129,26.007,28.806,31.653,34.514,37.370,40.193,44.422,47.782,50.602,53.475,56.394,59.258,62.086,64.995,67.883,70.843,73.707,76.567,79.476,82.365,85.259,88.159,91.051,93.931,96.821,99.704,102.601,105.499,108.382,111.268,114.139,117.033,119.903,122.785,125.665,128.523,131.354,134.219,137.091,139.964,142.822,145.663,148.555,151.434,154.415,157.307,160.224,163.105,166.006
Player Connected,0,0,2,2,3,6,13,17,22,22,28,33,39,46,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,32,26,26,26,26,26,26,24
TX (Kbps),0.0,0.0,3.96,2.001,0.7305,29.4434,17.9033,11.4707,89.2715,27.5625,63.0645,83.8828,87.7607,81.208,144.3203,12.7344,17.75,12.5322,9.0713,6.665,7.2666,6.6387,6.2529,5.8975,5.1641,4.8711,9.75,6.7666,6.0928,3.8838,7.7559,7.959,4.8994,7.1123,5.0,4.2559,3.9043,5.0576,5.2041,4.3105,4.8535,4.7275,5.1846,5.9766,7.8672,4.5723,4.4492,5.3516,6.6309,5.3359,7.2129,6.7422,8.4141,6.0381,4.2734,7.7891,34.3711
RX (Kbps),0.0449,0.0449,1.1836,2.667,3.207,2088.0957,18.8623,10.5635,4704.6299,1022.041,3363.377,6737.2754,4377.4863,5802.7617,6885.6504,71.4922,16.7754,34.8193,108.8223,78.2432,83.5273,75.9307,129.1992,156.7969,128.8799,82.5391,65.4131,69.4941,93.751,132.3975,142.8145,131.1904,141.5684,120.9697,120.1504,160.7344,151.6396,117.3311,159.334,151.4863,91.7812,109.8604,144.3486,134.6123,140.666,161.3555,118.8711,130.1904,258.9004,208.4414,218.7666,106.2324,146.7842,198.9238,157.3906,149.9512,480.207
TX + RX (Kbps),0.0449,0.0449,5.1436,4.667999999999999,3.9375,2117.5391,36.765600000000006,22.0342,4793.9014,1049.6035000000002,3426.4415,6821.158200000001,4465.246999999999,5883.9697,7029.970700000001,84.22659999999999,34.525400000000005,47.3515,117.89359999999999,84.90820000000001,90.7939,82.5694,135.4521,162.6944,134.04399999999998,87.4102,75.1631,76.2607,99.8438,136.28130000000002,150.5704,139.1494,146.4678,128.082,125.1504,164.9903,155.5439,122.3887,164.53810000000001,155.7968,96.6347,114.5879,149.5332,140.5889,148.5332,165.92780000000002,123.3203,135.542,265.5313,213.7773,225.9795,112.9746,155.1983,204.9619,161.66400000000002,157.7403,514.5781
CPU Usage Percent,3.3,3.5,3.6,4.1,3.8,7.2,7.6,7.1,15.9,15.8,22.1,28.1,28.8,14.5,30.1,63.9,7.6,8.3,7.8,9.5,11.1,10.8,8.8,7.4,7.0,8.9,8.2,8.9,9.0,8.4,8.3,8.5,8.2,8.2,8.4,7.7,9.1,8.7,8.6,7.4,9.2,8.4,7.6,9.0,8.4,7.4,8.5,8.3,9.5,7.5,7.5,6.8,8.4,7.3,8.2,6.9,4.9
RAM Usage Percent,7.1,7.2,7.2,7.2,7.2,7.3,7.6,7.8,8.7,8.3,9.2,10.3,10.1,10.0,14.1,12.4,10.4,10.4,10.5,10.5,10.5,10.6,10.4,10.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.6,10.5,10.5,10.6,10.6,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5

