Server Info
Server CPU Core,40
Server CPU Freq,0.0 GHz
Server RAM Total,23 GB
time,0.919,1.833,2.746,3.659,4.573,5.486,6.400,7.316,8.232,9.146,10.060,10.975,11.891,12.808,13.724,14.638,15.553,16.475,17.392,18.307,19.222,20.180,21.095,22.011,22.926,23.841,24.880,25.795,26.709,27.701,28.749,29.663,30.577,31.566,32.513,33.517,34.634,35.551,36.464,37.377,38.290,39.203,40.117,41.031,41.946,42.861,43.775,44.690,45.605,46.519,47.434,48.349,49.262,50.176,51.089,52.002,52.916,53.830,54.743,55.657,56.572,57.487,58.401,59.317,60.230,61.143,62.057,62.970,63.884,64.799,65.712,66.626,67.540,68.454,69.369,70.283,71.196,72.110,73.023,73.936,74.850,75.765,76.679,77.592,78.506,79.419,80.332,81.245,82.159,83.075,83.990,84.906,85.820,86.736,87.649,88.564,89.479,90.395,91.309,92.223,93.137,94.051,94.964,95.877,96.790,97.703,98.617,99.531,100.445,101.360,102.273,103.187,104.111,105.028,105.942,106.855,107.768,108.681,109.594,110.508,111.423,112.338,113.251,114.165,115.079,115.992,116.905,117.819,118.733,119.647,120.560,121.473,122.386,123.301,124.214,125.129,126.045,126.958,127.872,128.787,129.704,130.620,131.533,132.446,133.360,134.275,135.192,136.106,137.021,137.935,138.848,139.761,140.682,141.601,142.518,143.432,144.346,145.259,146.172,147.091,148.007,148.923,149.836
Player Connected,0,0,0,0,0,0,1,3,4,4,6,7,8,10,10,10,12,15,18,18,18,22,25,28,31,33,35,38,40,42,43,44,45,47,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,46,45,42,38,38,28,25,25,25,25,25,25,25,24,24,24,23,23,23,23,22,22
TX (Kbps),0.0,0.0,0.0,0.0,0.0,0.0,2.3828,3.7188,4.6309,0.0,3.8926,7.3672,3.5781,5.8984,1.8477,2.9102,4.7969,31.5527,21.9238,47.6992,3.8809,39.043,28.2598,49.5,11.7012,30.7656,15.9531,48.6445,60.9922,38.6152,31.6699,61.4219,54.4062,124.875,21.293,11.8711,4.2656,10.5938,12.2988,8.918,7.084,8.0469,4.5547,2.334,3.6758,4.7578,3.0312,4.5957,6.1895,4.6016,3.1641,3.625,5.1641,2.5137,6.2188,4.0078,1.8887,3.8516,4.6777,2.9277,3.0859,1.9727,2.3652,2.0781,6.9375,2.6055,3.125,3.4883,3.3164,2.6348,2.3027,2.5371,2.248,1.7695,4.209,3.7227,2.9668,1.8867,2.1035,5.9199,3.1328,1.6191,4.625,2.4316,4.2344,2.0898,1.6523,2.9473,2.4004,2.3926,2.3516,2.25,3.9688,3.5215,2.5254,2.9824,3.3848,3.4902,3.3496,2.3008,1.8477,1.7246,2.4121,3.3359,3.4766,2.7207,5.291,2.2734,3.0234,2.5293,3.3516,6.1699,2.0879,1.4434,1.9297,1.9707,3.3164,2.0996,1.8438,2.3945,2.7793,7.375,1.5664,1.5879,2.1367,3.957,1.6094,1.6191,2.0469,1.5801,3.3613,2.5078,1.377,1.9766,3.9043,3.3984,1.7227,1.5859,2.3867,3.2168,3.3477,3.9277,1.8926,1.7207,5.4805,3.7578,2.6836,1.7637,3.0762,3.5254,3.0664,10.8105,14.9805,2.8652,3.5703,3.9023,7.7051,3.0703,1.8223,32.2832,4.6191,2.8076,8.4668
RX (Kbps),0.0,0.0449,0.0,0.0449,0.0,0.0449,2.1387,3.8311,4.0176,0.0449,3.8379,6.6934,3.792,5.3418,1.4443,2.7246,5.1562,1134.832,1000.2051,2220.7393,4.8066,2212.9277,1158.1719,2254.7383,9.1436,1191.0918,21.2012,2731.9424,5170.2354,2444.9639,1271.4541,3004.5293,3318.7119,8449.5176,775.2402,71.5,0.8477,5.5781,17.4258,12.7852,3.5664,13.5742,16.6602,18.0615,24.5312,19.4336,24.2617,36.8037,25.4902,70.625,55.1328,70.4219,77.7832,4.6484,42.3867,75.7344,10.1484,78.1953,88.2129,84.2842,48.7812,30.3652,62.0068,24.2891,79.5352,35.7617,30.959,53.3828,54.1123,46.9531,35.042,79.3477,45.4922,46.7266,59.7686,39.1758,93.8281,19.0391,30.1699,59.0078,57.4355,27.0967,83.9844,71.0117,151.8672,93.75,66.4102,109.0586,59.0986,53.3516,66.1328,94.1445,54.3506,48.9746,64.9385,83.8281,30.5898,56.8359,102.6562,39.6328,36.0068,61.8398,89.3047,104.3848,55.791,74.3516,93.3232,53.3398,44.0469,60.1289,54.3574,44.8574,33.1631,49.1445,70.0957,67.4961,94.168,66.0938,102.0352,58.3525,46.6475,62.1953,56.1719,107.6943,84.8477,96.0469,60.4141,62.5654,53.2324,63.4297,53.5898,82.4453,61.8398,42.9844,98.7656,29.8896,50.9736,37.3809,54.4473,111.3086,57.1553,54.0391,35.8828,49.0273,66.6055,74.9307,82.4199,86.3232,75.9766,99.5781,79.1709,77.2734,94.873,53.0166,57.6719,86.1914,98.8945,115.2988,85.1738,1933.2734,99.6973,2.2695,3.2832
TX + RX (Kbps),0.0,0.0449,0.0,0.0449,0.0,0.0449,4.5215,7.5499,8.648499999999999,0.0449,7.730499999999999,14.0606,7.3701,11.2402,3.292,5.6348,9.9531,1166.3847,1022.1289,2268.4385,8.6875,2251.9707000000003,1186.4317,2304.2383,20.8448,1221.8573999999999,37.1543,2780.5869,5231.227599999999,2483.5791000000004,1303.124,3065.9512,3373.1180999999997,8574.3926,796.5332,83.3711,5.1133,16.1719,29.7246,21.7032,10.6504,21.6211,21.2149,20.3955,28.206999999999997,24.191399999999998,27.292900000000003,41.3994,31.6797,75.2266,58.2969,74.0469,82.9473,7.1621,48.6055,79.7422,12.0371,82.04690000000001,92.8906,87.2119,51.8671,32.337900000000005,64.372,26.3672,86.4727,38.3672,34.084,56.871100000000006,57.4287,49.5879,37.3447,81.8848,47.740199999999994,48.4961,63.977599999999995,42.898500000000006,96.79490000000001,20.925800000000002,32.273399999999995,64.9277,60.5683,28.715799999999998,88.6094,73.44330000000001,156.1016,95.8398,68.0625,112.0059,61.498999999999995,55.7442,68.48440000000001,96.3945,58.3194,52.496100000000006,67.46390000000001,86.8105,33.9746,60.326100000000004,106.0058,41.933600000000006,37.8545,63.5644,91.71679999999999,107.7207,59.267599999999995,77.0723,98.6142,55.6132,47.0703,62.6582,57.708999999999996,51.0273,35.251,50.5879,72.02539999999999,69.46679999999999,97.48440000000001,68.1934,103.879,60.747,49.4268,69.5703,57.7383,109.2822,86.98440000000001,100.00389999999999,62.0235,64.1845,55.2793,65.0098,56.9511,84.9531,63.2168,44.961,102.66990000000001,33.288000000000004,52.6963,38.9668,56.833999999999996,114.5254,60.503,57.9668,37.775400000000005,50.748,72.08600000000001,78.6885,85.1035,88.0869,79.0528,103.10350000000001,82.2373,88.0839,109.8535,55.8818,61.242200000000004,90.0937,106.5996,118.3691,86.9961,1965.5566000000001,104.3164,5.0771,11.75
CPU Usage Percent,0.1,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.4,0.2,1.7,2.4,1.6,3.1,1.1,1.3,2.8,9.9,16.8,11.6,2.9,11.7,19.9,17.4,16.5,26.5,15.3,17.6,15.6,23.2,45.0,33.7,35.7,39.4,28.5,28.5,61.7,65.0,14.5,3.9,7.9,2.9,4.3,6.3,9.9,5.7,4.6,6.7,8.0,3.7,7.7,6.6,3.8,3.2,4.3,4.4,3.6,3.9,3.2,5.8,5.7,7.7,5.4,3.8,4.2,2.9,5.2,3.9,5.8,5.8,4.7,6.1,3.0,3.7,7.8,2.6,3.0,4.6,2.8,3.9,3.7,7.4,3.9,3.9,3.2,3.8,2.9,5.3,5.4,8.6,3.3,3.3,4.5,5.6,4.0,5.9,5.9,4.6,4.1,5.9,6.1,4.5,4.9,4.3,5.7,3.5,5.2,4.1,6.9,3.2,5.0,7.2,7.0,6.9,3.0,4.1,4.0,4.1,3.1,5.3,4.9,4.7,4.0,6.4,5.3,3.1,2.6,5.9,3.8,5.2,3.4,3.2,2.8,2.7,3.7,5.5,7.8,4.9,6.7,4.3,9.4,5.8,2.9,3.6,4.5,6.5,4.9,3.7,5.5,3.8,2.7,6.4,7.8,9.9,7.2,3.7,3.3,4.2,4.3,3.8,6.0,7.6,1.7
RAM Usage Percent,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.9,7.9,7.9,8.0,8.0,8.0,8.0,8.5,8.7,9.2,8.3,8.6,8.6,9.1,8.9,9.5,10.3,9.6,10.0,10.2,11.7,11.4,11.7,11.9,11.1,11.9,14.3,15.9,14.4,14.4,10.8,10.8,10.7,10.8,10.7,10.7,10.7,10.7,10.7,10.7,10.8,10.7,10.6,10.6,10.6,10.7,10.7,10.7,10.7,10.7,10.7,10.6,10.7,10.6,10.6,10.7,10.6,10.6,10.7,10.6,10.7,10.6,10.6,10.7,10.6,10.7,10.6,10.6,10.6,10.7,10.7,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.8,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.8,10.8,10.7,10.7,10.7,10.7,10.8,10.7,10.7,10.7,10.7,10.7,10.7,10.8,11.2,10.7,10.7,10.7,10.7,10.7,10.8,11.2,11.1,10.7

